Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,6.000000,6.111111,5.888889,6.111111,3.557535,24525
1990-01-03,6.222222,6.444444,6.111111,6.222222,3.622218,45000
1990-01-04,6.444444,6.444444,6.222222,6.444444,3.751582,24525
1990-01-05,6.444444,6.777778,6.333333,6.777778,3.945629,51300
1990-01-08,6.777778,6.777778,6.555556,6.555556,3.816263,27225
1990-01-09,6.666667,6.666667,6.555556,6.666667,3.880948,26325
1990-01-10,6.555556,6.777778,6.555556,6.777778,3.945629,93825
1990-01-11,6.555556,6.777778,6.555556,6.777778,3.945629,19575
1990-01-12,6.555556,6.555556,6.333333,6.333333,3.686900,23850
1990-01-15,6.333333,6.555556,6.333333,6.555556,3.816263,28350
1990-01-16,6.222222,6.444444,6.222222,6.222222,3.622218,18000
1990-01-17,6.222222,6.444444,6.222222,6.444444,3.751582,10350
1990-01-18,6.444444,6.444444,6.222222,6.444444,3.751582,17775
1990-01-19,6.444444,6.444444,6.222222,6.222222,3.622218,2475
1990-01-22,6.222222,6.444444,6.222222,6.277778,3.654556,15525
1990-01-23,6.222222,6.444444,6.111111,6.444444,3.751582,18225
1990-01-24,6.333333,6.333333,5.777778,5.777778,3.363489,57600
1990-01-25,5.777778,6.000000,5.777778,6.000000,3.492852,4275
1990-01-26,6.000000,6.000000,5.666667,5.666667,3.298805,8325
1990-01-29,5.888889,5.888889,5.555556,5.555556,3.234124,15525
1990-01-30,5.555556,5.777778,5.555556,5.777778,3.383791,27450
1990-01-31,5.777778,6.000000,5.666667,6.000000,3.513936,37575
1990-02-01,6.000000,6.222222,5.888889,6.111111,3.579010,61650
1990-02-02,6.000000,6.222222,6.000000,6.222222,3.644081,24975
1990-02-05,6.222222,6.222222,6.055556,6.111111,3.579010,3825
1990-02-06,6.111111,6.222222,6.111111,6.222222,3.644081,7875
1990-02-07,6.111111,6.222222,6.111111,6.111111,3.579010,11700
1990-02-08,6.444444,6.444444,6.111111,6.222222,3.644081,19575
1990-02-09,6.222222,6.444444,6.222222,6.444444,3.774228,34875
1990-02-12,6.444444,6.555556,6.333333,6.444444,3.774228,27450
1990-02-13,6.333333,6.555556,6.333333,6.333333,3.709155,53550
1990-02-14,6.333333,7.111111,6.333333,7.111111,4.164666,83475
1990-02-15,6.888889,7.111111,6.777778,7.000000,4.099592,67500
1990-02-16,6.888889,6.888889,6.833333,6.888889,4.034520,36900
1990-02-20,6.666667,7.000000,6.555556,6.555556,3.839299,52650
1990-02-21,6.777778,6.777778,6.555556,6.555556,3.839299,39150
1990-02-22,6.555556,6.777778,6.555556,6.777778,3.969445,23850
1990-02-23,6.777778,6.777778,6.444444,6.444444,3.774228,6525
1990-02-26,6.444444,6.666667,6.444444,6.444444,3.774228,24525
1990-02-27,6.666667,6.666667,6.555556,6.555556,3.839299,23850
1990-02-28,6.555556,6.666667,6.555556,6.555556,3.839299,189900
1990-03-01,6.555556,6.555556,6.444444,6.444444,3.774228,48825
1990-03-02,6.444444,6.555556,6.444444,6.444444,3.774228,2475
1990-03-05,6.444444,6.444444,6.444444,6.444444,3.774228,2475
1990-03-06,6.666667,6.666667,6.444444,6.666667,3.904374,15750
1990-03-07,6.555556,6.666667,6.555556,6.666667,3.904374,11925
1990-03-08,6.555556,6.666667,6.555556,6.555556,3.839299,40275
1990-03-09,6.555556,6.666667,6.555556,6.666667,3.904374,20925
1990-03-12,6.555556,6.666667,6.555556,6.555556,3.839299,15750
1990-03-13,6.611111,6.666667,6.555556,6.555556,3.839299,57600
1990-03-14,6.555556,6.555556,6.555556,6.555556,3.839299,675
1990-03-15,6.555556,6.555556,6.555556,6.555556,3.839299,450
1990-03-16,6.666667,6.666667,6.555556,6.666667,3.904374,13725
1990-03-19,6.555556,6.777778,6.555556,6.666667,3.904374,81225
1990-03-20,6.555556,6.777778,6.555556,6.777778,3.969445,8325
1990-03-21,6.555556,6.777778,6.555556,6.666667,3.904374,4275
1990-03-22,6.555556,6.555556,6.555556,6.555556,3.839299,5850
1990-03-23,6.777778,6.777778,6.555556,6.611111,3.871838,30375
